编号,菜名,分类,配料 (g),适用餐次,口味,预计成本/份,热量 (kcal),蛋白质 (g),脂肪 (g),碳水 (g),标签
18,糯香排骨,排骨菜系,"排骨(200g), 南乳(20g), 蚝油(15g), 食用油(10g), 糯米(100g), 姜(5g), 蒜(5g), 生抽(5g), 糖(3g), 淀粉(5g)","午餐, 晚餐",咸鲜,8.5,485,25,28,35,荤菜
19,红烧排骨,排骨菜系,"猪肋排(200g), 生姜(10g), 大葱(20g), 八角(2g), 桂皮(2g), 食用油(15g), 冰糖(15g), 料酒(10g), 生抽(20g), 老抽(5g), 盐(3g)","午餐, 晚餐",咸鲜,8.5,450,25,30,20,荤菜
20,红薯蒸排骨,排骨菜系,"排骨(150g), 红薯(100g), 姜(5g), 蒜(5g), 生抽(10g), 料酒(5g), 淀粉(3g), 食用油(5g), 盐(1g)","午餐, 晚餐",清淡,8.5,320,18,15,28,荤菜
21,芋儿蒸排骨,排骨菜系,"排骨(150g), 芋儿(200g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(10g), 料酒(10g), 盐(3g), 淀粉(5g), 花椒(1g), 干辣椒(2g)","午餐, 晚餐",清淡,8.5,320,18,20,18,荤菜
22,花生黄豆烧排骨,排骨菜系,"排骨(200g), 花生(40g), 黄豆(40g), 葱段(10g), 姜片(5g), 食用油(15g), 酱油(15g), 料酒(10g), 白糖(5g), 盐(2g)","午餐, 晚餐",咸鲜,12.5,520,32,38,15,荤菜
23,茨菇烧排骨,排骨菜系,"排骨(200g), 茨菇(100g), 姜(5g), 葱(5g), 食用油(15g), 酱油(10g), 料酒(10g), 糖(5g), 盐(2g)","午餐, 晚餐",咸鲜,8.5,420,22,28,20,荤菜
24,萝卜烧排骨,排骨菜系,"排骨(200g), 白萝卜(150g), 姜(10g), 葱(10g), 食用油(15g), 酱油(15g), 料酒(10g), 白糖(5g), 盐(3g), 水(适量)","午餐, 晚餐",咸鲜,8.5,420,25,28,12,荤菜
25,蒜茸蒸排骨,排骨菜系,"猪肋排(150g), 蒜茸(20g), 食用油(10g), 生抽(15g), 蚝油(10g), 白胡椒粉(1g), 淀粉(8g), 葱花(5g), 小米椒(5g)","午餐, 晚餐",清淡,8.5,320,18,25,6,荤菜
26,蒜香排骨,排骨菜系,"猪肋排(200g), 蒜末(30g), 生抽(15g), 蚝油(10g), 料酒(10g), 白糖(5g), 淀粉(20g), 食用油(15g), 葱花(5g)","午餐, 晚餐",蒜香,12.5,450,28,32,15,荤菜
27,蒜香排骨炒麻花,排骨菜系,"猪肋排(100g), 小麻花(30g), 大蒜(20g), 干辣椒(5g), 食用油(15g), 生抽(10g), 蚝油(5g), 淀粉(5g), 白糖(3g), 盐(2g)","午餐, 晚餐",蒜香,8.5,420,18,28,25,荤菜
28,薄荷炸排内,排骨菜系,"猪肋排(150g), 薄荷叶(30g), 食用油(30g), 淀粉(20g), 面粉(15g), 鸡蛋(20g), 蒜(10g), 姜(5g), 盐(2g), 白胡椒粉(1g)","午餐, 晚餐",咸鲜,8.5,420,18,30,20,荤菜
29,豆豉蒸排骨,排骨菜系,"排骨(200g), 豆豉(15g), 蒜(10g), 姜(5g), 葱花(5g), 食用油(8g), 生抽(10g), 料酒(5g), 糖(2g), 淀粉(5g)","午餐, 晚餐",清淡,8.5,320,22,24,6,荤菜
30,豆豉蒸排骨,排骨菜系,"排骨(200g), 荔蒲芋头(150g), 豆豉(15g), 蒜末(10g), 姜末(5g), 食用油(5g), 生抽(10g), 蚝油(5g), 糖(3g), 淀粉(8g), 葱花(3g)","午餐, 晚餐",清淡,8.5,420,25,22,30,荤菜
31,酸辣椒蒸排骨,排骨菜系,"排骨(200g), 酸辣椒(40g), 生姜(10g), 蒜末(15g), 食用油(15g), 酱油(10g), 料酒(5g), 淀粉(8g), 葱花(5g)","午餐, 晚餐",酸辣,8.5,320,22,24,6,荤菜
32,鹌鹑蛋烧排骨,排骨菜系,"排骨(200g), 鹌鹑蛋(50g), 食用油(15g), 冰糖(10g), 生姜(5g), 大葱(10g), 料酒(10g), 生抽(15g), 老抽(5g), 盐(2g)","午餐, 晚餐",咸鲜,8.5,450,25,30,15,荤菜
33,五香牛肉,牛肉菜系,"牛腱子肉(100g), 五香卤料包(5g), 生姜(3g), 大葱(5g), 料酒(10g), 酱油(15g), 冰糖(5g), 盐(2g), 食用油(5g)","午餐, 晚餐",咸鲜,8.5,195,20,11,3,荤菜
34,佐料牛肉,牛肉菜系,"牛肉(100g), 青椒(50g), 红椒(30g), 洋葱(50g), 姜(5g), 蒜(10g), 食用油(15g), 酱油(15g), 料酒(10g), 淀粉(5g), 糖(3g)","午餐, 晚餐",咸鲜,8.5,320,22.5,18.5,15.2,荤菜
35,保山牛扒,牛肉菜系,"牛里脊肉(200g), 洋葱(50g), 青椒(30g), 红椒(30g), 姜(10g), 蒜(15g), 干辣椒(5g), 花椒(3g), 生抽(15g), 老抽(5g), 料酒(10g), 食用油(20g), 盐(2g), 糖(3g), 淀粉(10g)","午餐, 晚餐",咸鲜,28.5,420,35,25,15,荤菜
36,卤牛肉,牛肉菜系,"牛腱子肉(150g), 卤料包(10g), 生姜(5g), 大葱(5g), 料酒(10g), 生抽(15g), 老抽(5g), 冰糖(5g), 盐(3g), 水(200g)","午餐, 晚餐",咸鲜,12.5,280,32,15,5,荤菜
37,卤牛肉片,牛肉菜系,"牛肉(150g), 卤料包(10g), 生姜(5g), 大葱(5g), 料酒(10g), 酱油(15g), 冰糖(5g), 盐(2g), 水(用于卤制,不计入份量)","午餐, 晚餐",咸鲜,8.5,250,30,12,5,荤菜
38,双椒碎牛肉,牛肉菜系,"牛肉(120g), 青椒(40g), 红椒(40g), 大蒜(10g), 姜(5g), 食用油(15g), 酱油(10g), 料酒(5g), 淀粉(5g), 盐(2g), 糖(2g), 花椒(1g)","午餐, 晚餐",咸鲜,8.5,280,22,18,8,荤菜
39,口味牛蹄,牛肉菜系,"牛蹄(300g), 干辣椒(10g), 花椒(5g), 生姜(20g), 大蒜(20g), 大葱(30g), 食用油(30g), 酱油(15g), 料酒(15g), 白糖(5g), 食盐(3g), 香菜(5g)","午餐, 晚餐",咸鲜,28.5,450,35,30,12,荤菜
40,口磨牛肉,牛肉菜系,"牛肉片(150g), 口蘑(100g), 青椒(30g), 红椒(30g), 姜(5g), 蒜(10g), 食用油(15g), 生抽(15g), 老抽(5g), 料酒(10g), 淀粉(5g), 盐(2g), 糖(3g)","午餐, 晚餐",咸鲜,8.5,320,28,18,12,荤菜
41,咖喱牛肉,牛肉菜系,"牛肉(150g), 土豆(100g), 胡萝卜(50g), 洋葱(50g), 咖喱块(50g), 食用油(15g), 水(适量)","午餐, 晚餐",咖喱,12.5,450,25,22,38,荤菜
42,土豆炒牛肉,牛肉菜系,"牛肉(100g), 土豆(150g), 食用油(15g), 青椒(20g), 红椒(10g), 姜(5g), 蒜(5g), 生抽(10g), 老抽(3g), 料酒(5g), 淀粉(3g), 盐(2g)","午餐, 晚餐",咸鲜,8.5,320,20,15,25,荤菜
43,土豆片牛肉,牛肉菜系,"牛肉(120g), 土豆(200g), 青椒(30g), 红椒(20g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(10g), 料酒(5g), 淀粉(5g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,12.5,420,25,18,38,荤菜
44,土豆牛肉条,牛肉菜系,"牛肉条(150g), 土豆(200g), 青椒(30g), 红椒(30g), 姜(10g), 蒜(15g), 食用油(15g), 生抽(15g), 老抽(5g), 料酒(10g), 淀粉(5g), 盐(2g), 糖(3g)","午餐, 晚餐",咸鲜,12.5,420,28,18,35,荤菜
45,大葱爆牛肉,牛肉菜系,"牛肉片(120g), 大葱(100g), 食用油(15g), 酱油(10g), 姜(5g), 蒜(5g), 料酒(5g), 淀粉(3g), 盐(1g), 糖(2g)","午餐, 晚餐",葱香,8.5,280,20,18,10,荤菜
46,夫妻肺片,牛肉菜系,"熟牛舌(40g),熟牛心(40g),熟牛肚(40g),熟牛肉(30g),红油(30g),酱油(15g),芝麻酱(10g),白糖(10g),花椒粉(5g),熟芝麻(5g),香菜(5g),花生碎(5g),盐(2g),味精(1g)","午餐, 晚餐",咸鲜,12.5,320,18,25,8,荤菜
47,孜然牛肉,牛肉菜系,"牛肉(150g), 孜然粉(8g), 干辣椒(5g), 葱(20g), 姜(10g), 蒜(15g), 食用油(20g), 酱油(15g), 料酒(10g), 淀粉(5g), 盐(2g), 糖(3g)","午餐, 晚餐",孜然,12.5,350,28,22,10,荤菜
48,小炒牛肉片,牛肉菜系,"牛肉片(150g), 青椒(80g), 红椒(20g), 姜(5g), 蒜(10g), 葱(10g), 食用油(15g), 酱油(15g), 料酒(10g), 淀粉(5g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,8.5,320,28,20,12,荤菜
49,小炒腊牛肉,牛肉菜系,"腊牛肉(120g), 青椒(50g), 红椒(30g), 大蒜(10g), 姜(5g), 干辣椒(3g), 食用油(15g), 生抽(8g), 老抽(3g), 糖(2g)","午餐, 晚餐",咸鲜,12.5,320,22,20,12,荤菜
50,小炒黄牛肉,牛肉菜系,"黄牛肉(150g), 青椒(50g), 红椒(20g), 芹菜(30g), 大蒜(15g), 姜(10g), 小米椒(10g), 香菜(10g), 食用油(20g), 生抽(15g), 老抽(5g), 料酒(10g), 淀粉(5g), 盐(2g), 糖(2g), 味精(1g)","午餐, 晚餐",咸鲜,12.5,320,28,20,10,荤菜
51,小米辣牛肉沫,牛肉菜系,"牛肉末(150g), 小米辣(15g), 青椒(20g), 蒜(10g), 姜(5g), 食用油(15g), 酱油(10g), 料酒(5g), 盐(2g), 糖(2g), 米饭(300g)","午餐, 晚餐",咸鲜,8.5,650,28,25,75,荤菜
52,尖椒炒黄喉,牛肉菜系,"黄喉(120g), 青尖椒(80g), 红尖椒(20g), 大蒜(10g), 姜(5g), 食用油(15g), 生抽(10g), 蚝油(8g), 料酒(5g), 盐(2g), 糖(1g), 淀粉(3g)","午餐, 晚餐",咸鲜,8.5,195,12,12,8,荤菜
53,山珍牛肉饵块,牛肉菜系,"饵块(200g), 牛肉片(80g), 香菇(30g), 金针菇(20g), 木耳(15g), 青椒(20g), 红椒(10g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(10g), 蚝油(8g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,12.5,485,22,15,65,荤菜
54,干竹笋烧牛肉,牛肉菜系,"牛肉(200g), 干竹笋(100g), 食用油(20g), 姜(10g), 蒜(10g), 葱(10g), 干辣椒(5g), 花椒(3g), 八角(2g), 酱油(15g), 料酒(10g), 盐(5g), 糖(5g), 水(适量)","午餐, 晚餐",咸鲜,12.5,420,32,24,18,荤菜
55,干锅牛腩,牛肉菜系,"牛腩(200g), 土豆(100g), 胡萝卜(50g), 青椒(30g), 红椒(30g), 洋葱(50g), 干辣椒(5g), 花椒(3g), 生姜(10g), 大蒜(15g), 葱(10g), 食用油(20g), 郫县豆瓣酱(15g), 生抽(10g), 老抽(5g), 料酒(10g), 糖(5g), 盐(3g), 香菜(5g)","午餐, 晚餐",麻辣,18.5,485,28,32,22,荤菜
56,杏鲍菇炒牛肉,牛肉菜系,"牛肉(100g), 杏鲍菇(100g), 青椒(30g), 红椒(30g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(10g), 蚝油(5g), 盐(2g), 糖(2g), 淀粉(3g)","午餐, 晚餐",咸鲜,8.5,280,22,16,12,荤菜
57,椒麻干锅牛肉,牛肉菜系,"牛肉(150g), 土豆(100g), 莲藕(80g), 青椒(50g), 红椒(50g), 干辣椒(10g), 花椒(5g), 葱(20g), 姜(10g), 蒜(15g), 食用油(30g), 酱油(15g), 料酒(10g), 淀粉(10g), 盐(3g), 糖(5g)","午餐, 晚餐",麻辣,18.5,450,28,25,32,荤菜
58,水煮牛肉,牛肉菜系,"牛肉片(150g), 豆芽(100g), 生菜(50g), 干辣椒(10g), 花椒(5g), 蒜末(15g), 姜末(10g), 葱花(10g), 郫县豆瓣酱(30g), 食用油(40g), 料酒(10g), 酱油(15g), 淀粉(10g), 盐(3g), 糖(2g), 高汤或水(400g)","午餐, 晚餐",麻辣,18.5,520,32,35,15,荤菜
59,水煮牛肉片,牛肉菜系,"牛肉片(200g), 豆芽(150g), 油菜(100g), 蒜(20g), 姜(10g), 干辣椒(15g), 花椒(10g), 郫县豆瓣酱(30g), 食用油(40g), 淀粉(15g), 料酒(10g), 酱油(15g), 盐(5g), 糖(5g), 高汤或水(300g)","午餐, 晚餐",麻辣,18.5,520,32,35,20,荤菜
60,油淋干巴,牛肉菜系,"牛肉干巴(80g), 干辣椒(10g), 花椒(5g), 姜(10g), 蒜(10g), 葱(20g), 白芝麻(3g), 食用油(30g), 生抽(15g), 白糖(5g)","午餐, 晚餐",咸鲜,12.5,320,25,20,10,荤菜
61,油淋干巴配鸡蛋干,牛肉菜系,"牛干巴(80g), 鸡蛋干(50g), 青椒(20g), 红椒(20g), 洋葱(20g), 食用油(15g), 生抽(8g), 盐(2g), 糖(1g), 花椒油(3g)","午餐, 晚餐",咸鲜,12.5,320,22,20,10,荤菜
62,泡姜豆牛肉沫,牛肉菜系,"牛肉沫(100g), 泡姜(30g), 豆角(80g), 蒜末(10g), 食用油(15g), 酱油(12g), 料酒(8g), 淀粉(5g), 糖(3g), 盐(2g)","午餐, 晚餐",咸鲜,6.5,280,18,15,12,荤菜
63,泡椒火爆黄喉,牛肉菜系,"黄喉(150g), 泡椒(30g), 食用油(20g), 姜(10g), 蒜(10g), 葱(10g), 料酒(10g), 生抽(15g), 白糖(5g), 淀粉(5g), 盐(2g)","午餐, 晚餐",麻辣,12.5,280,18,18,10,荤菜
64,泡椒炒黄喉,牛肉菜系,"黄喉(150g), 泡椒(30g), 青椒(30g), 红椒(20g), 姜(10g), 蒜(15g), 葱(10g), 食用油(15g), 酱油(8g), 料酒(5g), 盐(2g), 糖(2g), 淀粉(3g)","午餐, 晚餐",麻辣,12.5,320,18,22,10,荤菜
65,洋葱炒牛肉,牛肉菜系,"牛肉(150g), 洋葱(100g), 青椒(30g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(10g), 料酒(5g), 淀粉(3g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,12.5,320,25,18,15,荤菜
66,浇汁肥牛,牛肉菜系,"肥牛片(150g), 金针菇(80g), 绿豆芽(50g), 青红椒丝(20g), 洋葱丝(30g), 蒜末(10g), 姜末(5g), 食用油(15g), 酱油(15g), 蚝油(10g), 料酒(10g), 糖(5g), 盐(2g), 淀粉(5g), 水(100g)","午餐, 晚餐",咸鲜,8.5,320,22,20,15,荤菜
67,火烧青椒牛肉,牛肉菜系,"牛肉(150g), 青椒(100g), 红椒(20g), 大葱(20g), 姜(5g), 蒜(10g), 食用油(15g), 酱油(10g), 料酒(5g), 淀粉(5g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,12.5,320,28,18,12,荤菜
68,烧椒牛肉,牛肉菜系,"牛肉片(120g), 青椒(80g), 红椒(20g), 大蒜(15g), 生姜(10g), 食用油(15g), 酱油(12g), 蚝油(8g), 料酒(5g), 淀粉(5g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,8.5,280,22,18,8,荤菜
69,爆炒黄牛肚,牛肉菜系,"黄牛肚(150g), 青椒(30g), 红椒(30g), 洋葱(30g), 姜(10g), 蒜(10g), 干辣椒(5g), 花椒(3g), 食用油(15g), 生抽(10g), 老抽(5g), 料酒(10g), 盐(2g), 糖(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,8.5,220,18,12,9,荤菜
70,牙签牛肉,牛肉菜系,"牛肉(120g), 牙签(20根), 食用油(30g), 干辣椒(10g), 花椒(5g), 孜然粉(3g), 辣椒粉(3g), 白芝麻(5g), 生抽(15g), 老抽(5g), 料酒(10g), 白糖(5g), 淀粉(10g), 姜(5g), 蒜(10g), 葱(5g)","午餐, 晚餐",咸鲜,12.5,420,25,32,10,荤菜
71,牛干巴炒土豆片,牛肉菜系,"牛干巴(80g), 土豆(150g), 青椒(30g), 红椒(20g), 蒜(10g), 姜(5g), 干辣椒(3g), 食用油(15g), 盐(2g), 生抽(8g), 料酒(5g), 花椒(1g)","午餐, 晚餐",咸鲜,8.5,320,18,15,28,荤菜
72,牛肉滑蛋,牛肉菜系,"牛肉(100g), 鸡蛋(150g), 食用油(20g), 小葱(10g), 盐(2g), 白胡椒粉(1g), 料酒(5g), 淀粉(5g), 生抽(10g)","午餐, 晚餐",咸鲜,8.5,350,28,24,5,荤菜
73,牛肉炖竹笋,牛肉菜系,"牛肉(150g), 竹笋(80g), 土豆(50g), 胡萝卜(30g), 食用油(15g), 葱(10g), 姜(5g), 蒜(5g), 酱油(15g), 料酒(10g), 盐(3g), 糖(2g), 水(适量)","午餐, 晚餐",清淡,8.5,320,25,18,15,汤类
74,牛肉罗卜丝,牛肉菜系,"牛肉(80g), 白萝卜(150g), 青椒(20g), 红椒(10g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 生抽(10g), 老抽(3g), 料酒(5g), 盐(2g), 糖(1g), 淀粉(3g)","午餐, 晚餐",咸鲜,6.5,215,16.5,12,10,荤菜
75,白玉菇炒牛肉,牛肉菜系,"牛肉(100g), 白玉菇(120g), 青椒(30g), 红椒(20g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(10g), 蚝油(8g), 料酒(5g), 盐(2g), 糖(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,8.5,285,22.5,16.8,12.3,荤菜
76,筒蒿烧牛肉,牛肉菜系,"牛肉(150g), 筒蒿(200g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(15g), 料酒(10g), 盐(2g), 糖(3g), 淀粉(5g)","午餐, 晚餐",咸鲜,12.5,350,28,20,12,荤菜
77,素拌牛肚,牛肉菜系,"牛肚(100g), 黄瓜(80g), 胡萝卜(30g), 洋葱(30g), 香菜(10g), 蒜末(10g), 辣椒油(8g), 生抽(15g), 香醋(10g), 白糖(5g), 盐(2g), 香油(3g)","午餐, 晚餐",咸鲜,8.5,185,15,9,10,凉菜
78,红烧牛肉,牛肉菜系,"牛肉(150g), 土豆(100g), 胡萝卜(50g), 食用油(15g), 酱油(20g), 料酒(10g), 葱(10g), 姜(5g), 八角(2g), 冰糖(10g), 盐(3g), 水(适量)","午餐, 晚餐",咸鲜,12.5,420,28,22,25,荤菜
79,红烧牛肋排,牛肉菜系,"牛肋排(200g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 冰糖(10g), 生抽(15g), 老抽(5g), 料酒(10g), 盐(2g), 水(适量)","午餐, 晚餐",咸鲜,12.5,420,28,30,12,荤菜
80,红烧牛腩,牛肉菜系,"牛腩(200g), 土豆(100g), 胡萝卜(50g), 食用油(15g), 姜(10g), 葱(10g), 八角(2g), 桂皮(1g), 香叶(0.5g), 料酒(10g), 生抽(20g), 老抽(5g), 冰糖(10g), 盐(3g), 水(适量)","午餐, 晚餐",咸鲜,18.5,485,28,25,35,荤菜
81,腐竹烧牛腩,牛肉菜系,"牛腩(150g), 腐竹(干, 30g), 食用油(15g), 生姜(10g), 大蒜(10g), 葱(10g), 八角(2g), 桂皮(1g), 生抽(15g), 老抽(5g), 料酒(10g), 冰糖(8g), 盐(3g), 水(适量)","午餐, 晚餐",咸鲜,12.5,420,28,28,15,荤菜
82,芹菜炒牛肉,牛肉菜系,"牛肉(100g), 芹菜(150g), 食用油(15g), 葱(10g), 姜(5g), 蒜(5g), 酱油(15g), 料酒(10g), 淀粉(5g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,8.5,280,22,16,12,荤菜
83,苦瓜炒牛肉,牛肉菜系,"牛肉片(100g), 苦瓜(150g), 食用油(15g), 姜(5g), 蒜(5g), 生抽(10g), 蚝油(5g), 淀粉(3g), 盐(2g)","午餐, 晚餐",咸鲜,8.5,245,18.5,15.2,8.3,荤菜
84,茶香牛肉,牛肉菜系,"牛肉(100g), 红茶茶叶(5g), 姜(10g), 葱(10g), 料酒(10g), 生抽(15g), 老抽(5g), 白糖(8g), 食用油(15g), 八角(1g), 桂皮(1g), 水(适量)","午餐, 晚餐",咸鲜,8.5,280,20,18,10,荤菜
85,荷兰豆炒牛柳,牛肉菜系,"荷兰豆(80g), 牛柳(100g), 红椒(10g), 蒜末(5g), 姜末(3g), 食用油(15g), 生抽(8g), 蚝油(5g), 淀粉(3g), 盐(1g), 糖(1g)","午餐, 晚餐",咸鲜,8.5,235,20,12,10,荤菜
86,萝卜炖牛肉,牛肉菜系,"牛腩(150g), 白萝卜(200g), 姜(10g), 葱(15g), 食用油(15g), 料酒(10g), 酱油(15g), 盐(3g), 糖(5g), 饮用水(300g)","午餐, 晚餐",清淡,8.5,350,25,20,15,汤类
87,萝卜牛肉丝,牛肉菜系,"牛肉丝(120g), 白萝卜(150g), 食用油(15g), 葱(10g), 姜(5g), 蒜(5g), 酱油(10g), 盐(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,8.5,280,20,15,12,荤菜
88,萝卜黄焖羊肉,牛肉菜系,"羊肉(200g), 白萝卜(150g), 食用油(15g), 姜(10g), 葱(10g), 料酒(10g), 酱油(15g), 冰糖(5g), 八角(1g), 桂皮(1g), 水(适量)","午餐, 晚餐",咸鲜,12.5,420,25,28,15,荤菜
89,葱爆牛肉,牛肉菜系,"牛肉(200g), 大葱(100g), 食用油(20g), 酱油(15g), 料酒(10g), 姜(5g), 蒜(5g), 淀粉(5g), 盐(2g), 糖(2g)","午餐, 晚餐",葱香,12.5,350,25,22,10,荤菜
90,蒜苔炒牛肉,牛肉菜系,"牛肉(100g), 蒜苔(120g), 食用油(15g), 姜(5g), 蒜(10g), 生抽(10g), 料酒(5g), 淀粉(3g), 盐(2g)","午餐, 晚餐",咸鲜,8.5,280,20,18,10,荤菜
91,藕条干巴,牛肉菜系,"藕(200g), 牛肉干巴(80g), 干辣椒(10g), 花椒(5g), 姜(10g), 蒜(10g), 葱(10g), 食用油(20g), 盐(2g), 生抽(10g), 糖(3g)","午餐, 晚餐",咸鲜,12.5,385,18.5,22,28,荤菜
92,蚝油牛肉,牛肉菜系,"牛肉(120g), 蚝油(20g), 青椒(50g), 红椒(20g), 洋葱(30g), 姜(5g), 蒜(5g), 食用油(15g), 淀粉(5g), 料酒(5g), 糖(2g)","午餐, 晚餐",咸鲜,8.5,280,22,16,12,荤菜
93,西湖牛肉羹,牛肉菜系,"牛肉末(40g), 嫩豆腐(50g), 鸡蛋清(30g), 香菇(15g), 香菜(5g), 葱(5g), 姜(3g), 淀粉(10g), 水(400g), 盐(2g), 白胡椒粉(0.5g), 鸡精(1g), 芝麻油(2g)","午餐, 晚餐",咸鲜,3.5,120,8.5,6,8,汤类
